1515814479.372	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'jdisc_http_service' requires install from 'jetty-continuation-9.4.8.v20171121.jar'.
1515814479.372	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jetty-continuation-9.4.8.v20171121.jar'.
1515814479.373	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.eclipse.jetty.continuation	info	BundleEvent INSTALLED
1515814479.373	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'jdisc_http_service' requires install from 'jetty-http-9.4.8.v20171121.jar'.
1515814479.373	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jetty-http-9.4.8.v20171121.jar'.
1515814479.376	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.eclipse.jetty.http	info	BundleEvent INSTALLED
1515814479.376	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'jdisc_http_service' requires install from 'jetty-io-9.4.8.v20171121.jar'.
1515814479.376	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jetty-io-9.4.8.v20171121.jar'.
1515814479.383	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.eclipse.jetty.io	info	BundleEvent INSTALLED
1515814479.383	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'jdisc_http_service' requires install from 'jetty-jmx-9.4.8.v20171121.jar'.
1515814479.383	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jetty-jmx-9.4.8.v20171121.jar'.
1515814479.384	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.eclipse.jetty.jmx	info	BundleEvent INSTALLED
1515814479.385	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'jdisc_http_service' requires install from 'jetty-security-9.4.8.v20171121.jar'.
1515814479.385	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jetty-security-9.4.8.v20171121.jar'.
1515814479.386	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.eclipse.jetty.security	info	BundleEvent INSTALLED
1515814479.386	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'jdisc_http_service' requires install from 'jetty-server-9.4.8.v20171121.jar'.
1515814479.386	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jetty-server-9.4.8.v20171121.jar'.
1515814479.389	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.eclipse.jetty.server	info	BundleEvent INSTALLED
1515814479.389	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'jdisc_http_service' requires install from 'jetty-servlet-9.4.8.v20171121.jar'.
1515814479.389	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jetty-servlet-9.4.8.v20171121.jar'.
1515814479.392	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.eclipse.jetty.servlet	info	BundleEvent INSTALLED
1515814479.392	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'jdisc_http_service' requires install from 'jetty-servlets-9.4.8.v20171121.jar'.
1515814479.392	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jetty-servlets-9.4.8.v20171121.jar'.
1515814479.394	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.eclipse.jetty.servlets	info	BundleEvent INSTALLED
1515814479.394	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'jdisc_http_service' requires install from 'jetty-util-9.4.8.v20171121.jar'.
1515814479.394	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jetty-util-9.4.8.v20171121.jar'.
1515814479.399	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.eclipse.jetty.util	info	BundleEvent INSTALLED
1515814479.399	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'jdisc_http_service' requires install from 'org.apache.aries.spifly.dynamic.bundle-1.0.8.jar'.
1515814479.399	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/org.apache.aries.spifly.dynamic.bundle-1.0.8.jar'.
1515814479.401	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.apache.aries.spifly.dynamic.bundle	info	BundleEvent INSTALLED
1515814479.401	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'jdisc_http_service' requires install from 'org.apache.aries.util-1.0.0.jar'.
1515814479.401	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/org.apache.aries.util-1.0.0.jar'.
1515814479.403	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.apache.aries.util	info	BundleEvent INSTALLED
1515814479.403	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'jdisc_http_service' requires install from 'component-jar-with-dependencies.jar'.
1515814479.403	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/component-jar-with-dependencies.jar'.
1515814479.404	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	component	info	BundleEvent INSTALLED
1515814479.404	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'vespaclient-container-plugin-jar-with-dependencies.jar'.
1515814479.404	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/vespaclient-container-plugin-jar-with-dependencies.jar'.
1515814479.416	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	vespaclient-container-plugin	info	BundleEvent INSTALLED
1515814479.416	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'simplemetrics-jar-with-dependencies.jar'.
1515814479.416	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/simplemetrics-jar-with-dependencies.jar'.
1515814479.418	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	simplemetrics	info	BundleEvent INSTALLED
1515814479.418	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'defaults-jar-with-dependencies.jar'.
1515814479.418	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/defaults-jar-with-dependencies.jar'.
1515814479.419	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	defaults	info	BundleEvent INSTALLED
1515814479.419	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'component-jar-with-dependencies.jar'.
1515814479.419	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle from 'file:/home/work/vespa/lib/jars/component-jar-with-dependencies.jar' already installed.
1515814479.419	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'zkfacade-jar-with-dependencies.jar'.
1515814479.419	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/zkfacade-jar-with-dependencies.jar'.
1515814479.429	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	zkfacade	info	BundleEvent INSTALLED
1515814479.429	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'aopalliance-repackaged-2.5.0-b05.jar'.
1515814479.429	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/aopalliance-repackaged-2.5.0-b05.jar'.
1515814479.431	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.glassfish.hk2.external.aopalliance-repackaged	info	BundleEvent INSTALLED
1515814479.431	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'hk2-api-2.5.0-b05.jar'.
1515814479.431	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/hk2-api-2.5.0-b05.jar'.
1515814479.432	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.glassfish.hk2.api	info	BundleEvent INSTALLED
1515814479.432	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'hk2-locator-2.5.0-b05.jar'.
1515814479.433	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/hk2-locator-2.5.0-b05.jar'.
1515814479.435	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.glassfish.hk2.locator	info	BundleEvent INSTALLED
1515814479.435	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'hk2-utils-2.5.0-b05.jar'.
1515814479.435	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/hk2-utils-2.5.0-b05.jar'.
1515814479.437	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.glassfish.hk2.utils	info	BundleEvent INSTALLED
1515814479.437	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'jackson-annotations-2.8.3.jar'.
1515814479.437	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jackson-annotations-2.8.3.jar'.
1515814479.438	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	com.fasterxml.jackson.core.jackson-annotations	info	BundleEvent INSTALLED
1515814479.438	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'jackson-core-2.8.3.jar'.
1515814479.438	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jackson-core-2.8.3.jar'.
1515814479.441	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	com.fasterxml.jackson.core.jackson-core	info	BundleEvent INSTALLED
1515814479.441	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'jackson-databind-2.8.3.jar'.
1515814479.441	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jackson-databind-2.8.3.jar'.
1515814479.446	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	com.fasterxml.jackson.core.jackson-databind	info	BundleEvent INSTALLED
1515814479.446	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'jackson-datatype-jdk8-2.8.3.jar'.
1515814479.446	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jackson-datatype-jdk8-2.8.3.jar'.
1515814479.447	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	com.fasterxml.jackson.datatype.jackson-datatype-jdk8	info	BundleEvent INSTALLED
1515814479.447	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'jackson-datatype-jsr310-2.8.3.jar'.
1515814479.447	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jackson-datatype-jsr310-2.8.3.jar'.
